id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
1,AgCl (Endapan Perak Klorida),455.0,1547.0,Netral,Tidak Ada,0.0,Senyawa Ionik,143.318,,48.0,-127.0
2,AgNO3 (Perak Nitrat),210.0,440.0,Netral,Tidak Ada,0.0,Senyawa Ionik,169.872,4.35,101.8,-124.4
3,Al2O3 (Alumina),2054.0,2977.0,Netral,Tidak Ada,0.0,Senyawa Ionik,101.96,3.97,92.2,-1675.7
4,Br2 (Gas Bromin),-7.2,58.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,159.808,,55.2,0.0
5,C10H18 (Alkuna),-77.53,170.75,Netral,Tidak Ada,0.0,Senyawa Kovalen,138.254,0.745,289.2,-117.56129337539431
6,C10H20 (Alkena/Olefin),-75.77,173.4,Netral,Tidak Ada,0.0,Senyawa Kovalen,140.27,0.74,312.0,-182.58
7,C10H21COOH (Asam Lemak/Karboksilat),105.0,243.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,186.295,0.89,376.8,-622.13
8,C10H21Cl (Kloroalkana),-53.35,176.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,176.728,0.735,346.0,-366.44583631554383
9,C10H21F (Fluoroalkana),-35.0,189.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,160.276,0.735,344.4,-426.23
10,C10H21NH2 (Amina),-48.03,186.5,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,157.301,0.8,372.2,-265.5388680150292
11,C10H21OH (Alkohol Alifatik),5.0,220.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,158.285,0.844,351.6,-485.72
12,C10H22 (Alkana/Parafin),-29.92,174.12,Netral,Tidak Ada,0.0,Senyawa Kovalen,142.286,0.735,334.8,-300.9
13,C10H8 (Naftalena / Kapur Barus),80.2,218.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,128.174,1.16,175.2,78.5
14,C11H20 (Alkuna),-41.86,203.52,Netral,Tidak Ada,0.0,Senyawa Kovalen,152.281,0.756,320.4,-153.9032176656151
15,C11H22 (Alkena/Olefin),-58.0,204.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,154.297,0.751,343.2,-288.07
16,C11H23COOH (Asam Lemak/Karboksilat),-15.0,249.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,200.322,0.886,408.0,-682.7
17,C11H23Cl (Kloroalkana),-17.0,245.34,Netral,Tidak Ada,0.0,Senyawa Kovalen,190.755,0.745,377.2,-305.98
18,C11H23F (Fluoroalkana),-58.83,206.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,174.303,0.745,375.6,-446.16
19,C11H23NH2 (Amina),17.0,229.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,171.328,0.804,403.4,-307.86
20,C11H23OH (Alkohol Alifatik),15.0,246.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,172.312,0.845,382.8,-504.8
21,C11H24 (Alkana/Parafin),-26.0,195.78,Netral,Tidak Ada,0.0,Senyawa Kovalen,156.313,0.745,366.0,-327.2
22,C12H22 (Alkuna),-30.59,239.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,166.308,0.766,351.6,-256.63
23,C12H22O11 (Sukrosa / Gula Pasir),201.5,1035.59,Netral,Tidak Ada,0.0,Senyawa Kovalen,342.297,,536.4,
24,C12H24 (Alkena/Olefin),-62.35,198.59,Netral,Tidak Ada,0.0,Senyawa Kovalen,168.324,0.76,374.4,-258.03
25,C12H25COOH (Asam Lemak/Karboksilat),-38.0,123.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,214.349,0.883,439.2,-698.81
26,C12H25Cl (Kloroalkana),43.5,238.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,204.782,0.754,408.4,-412.89178517711736
